Methodology Code,Registry,Methodology Name,Project Type Category
AMS-I.D.,Verra,AMS-I.D.; AMS-II.E.,Mixed renewables
AR-AMS0007,Verra,AR-AMS0007; VM0006,Afforestation/Reforestation
VM0022,Verra,VM0022,Reforestation and ecosystem restoration
AR-AM0010,Verra,AR-AM0010,Afforestation/Reforestation
AMS-III.F.,Verra,AMS-III.F.; VM0042,Composting
AMS-II.F.,Verra,AMS-II.F.,Efficient appliances
AMS-III.C.,Verra,AMS-III.C.; VM0038,Waste to energy
AMS-III.AF.,Verra,AMS-III.AF.,Soil & Livestock
VM0037,Verra,VM0037,Forest management
AMS-I.D.,Verra,AMS-I.D.; AMS-III.Y,Mixed renewables
AMS-III.D.,Verra,AMS-III.D.; ACM0022,Soil & Livestock
AMS-I.F.,Verra,AMS-I.F.; AMS-III.D.; AMS-III.AO.; VM0042,Bioenergy
VMR0006,Verra,VMR0006; AMS-III.AV.,Mixed renewables
VM0005,Verra,VM0005; VM0007; VM0017,Forest management
AMS-III.E.,Verra,AMS-III.E.; AMS-III.F.,Soil & Livestock
VM0021,Verra,VM0021,Reforestation and ecosystem restoration
VM0018,Verra,VM0018,Waste management
AMS-I.D.,Verra,AMS-I.D.; AMS-III.G.; AMS-III.AO.,Mixed renewables
ACM0006,Verra,ACM0006,Bioenergy
VM0003,Verra,VM0003; AR-ACM0003,Afforestation/Reforestation
VM0025,Verra,VM0025,Mixed renewables
AMS-II.G.,Verra,AMS-II.G.; VMR0006; AMS-III.AR,Efficient appliances
AMS-II.G.,Verra,AMS-II.G.; AMS-III.AR,Efficient appliances
AMS-III.F.,Verra,AMS-III.F.; AMS-III.AO.,Composting
AMS-III.F.,Verra,AMS-III.F.; VM0021,Composting
AR-AMS0007,Verra,AR-AMS0007; AR-ACM0003,Afforestation/Reforestation
AMS-III.AO.,Verra,AMS-III.AO.; ACM0022,Waste management
AMS-I.D.,Verra,AMS-I.D.; AMS-I.F.; AMS-III.D.,Mixed renewables
AMS-I.J,Verra,AMS-I.J,Solar
AMS-III.Y,Verra,AMS-III.Y; VMR0003,Soil & Livestock
AR-AMS0003,Verra,AR-AMS0003; AR-AMS0007; AR-ACM0003; AR-AM0014,Afforestation/Reforestation
AMS-I.C.,Verra,AMS-I.C.; AMS-I.D.; AMS-III.H.,Mixed renewables
AMS-II.D.,Verra,AMS-II.D.,Efficient appliances
AM0010,Verra,AM0010,Hydropower
AMS-III.B.,Verra,AMS-III.B.,Landfill gas
AMS-I.J,Verra,AMS-I.J; AMS-I.L.,Solar
AMS-I.F.,Verra,AMS-I.F.; AMS-II.E.,Bioenergy
ACM0012,Verra,ACM0012,Waste to energy
AR-ACM0001,Verra,AR-ACM0001,Afforestation/Reforestation
AM0014,Verra,AM0014; VM0007; AR-ACM0003,Afforestation/Reforestation
AM0028,Verra,AM0028,Mixed renewables
AM0034,Verra,AM0034,Mixed renewables
AMS-II.C.,Verra,AMS-II.C.; AMS-II.G.,Efficient appliances
AM0025,Verra,AM0025,Solar
ACM0009,Verra,ACM0009,Industrial efficiency
ACM0002,Verra,ACM0002; AMS-I.D.,Mixed renewables
ACM0002,Verra,ACM0002; ACM0006,Mixed renewables
ACM0002,Verra,ACM0002; AMS-I.D.; AMS-II.D.,Mixed renewables
AMS-I.C.,Verra,AMS-I.C.; AMS-III.B.,Mixed renewables
ACM0001,Verra,ACM0001; AMS-I.D.,Landfill gas
ACM0002,Verra,ACM0002; ACM0012,Mixed renewables
AM0029,Verra,AM0029,Hydropower
AM0046,Verra,AM0046,Wastewater treatment
ACM0013,Verra,ACM0013,Industrial efficiency
AMS-II.J.,Verra,AMS-II.J.,Efficient appliances
ACM0001,Verra,ACM0001; ACM0002,Landfill gas
ACM0005,Verra,ACM0005,Wastewater treatment
AM0036,Verra,AM0036,Industrial efficiency
AM0070,Verra,AM0070,Wind
AMS-III.BC.,Verra,AMS-III.BC.,Electric vehicles
ACM0018,Verra,ACM0018,Industrial efficiency
ACM0007,Verra,ACM0007,Mixed renewables
AMS-I.C.,Verra,AMS-I.C.; AMS-III.D.; AMS-III.R.,Mixed renewables
ACM0002,Verra,ACM0002; AM0029,Mixed renewables
